"Strategy","Benefit","Cost","Avg.Feas","Exp.Benefit","CE","CE_rank","ExpBenefit_rank","Cost_rank"
"S1",1029.6804508865,28630505.49,0.55,566.324247987574,19.7804488008561,2,15,2
"S2",1742.55065258757,100966623.96,0.65,1132.65792418192,11.2181419934437,4,9,6
"S3",2262.88706241743,27475428.26,0.42,950.412566215322,34.5913649542263,1,11,1
"S4",1962.81652884166,1461944349.29,0.51,1001.03642970925,0.684729504372315,15,10,11
"S5",996.675705975235,88506157.7,0.66,657.805965943655,7.43231864356094,6,14,4
"S6",1546.27040420453,96336615.85,0.44,680.358977849993,7.06230929794482,7,13,5
"S7",2212.40012782377,216582867.35,0.62,1371.68807925074,6.33331757047097,8,6,8
"S8",1562.46515410208,57628763.85,0.6,937.479092461249,16.2675551205884,3,12,3
"S9",2331.24299577025,305089025.05,0.64,1491.99551729296,4.89036115621807,10,5,10
"S10",2797.16386910135,1678527216.64,0.56,1566.41176669676,0.93320605776791,13,4,13
"S11",3206.13894838046,1779493840.61,0.59,1891.62197954447,1.0630112543104,11,2,14
"S12",2774.09482960651,1489419777.55,0.47,1303.82456991506,0.875390933817039,14,8,12
"S13",2274.43436579579,245213372.84,0.58,1319.17193216156,5.37969000990132,9,7,9
"S14",2818.12448181295,186070816.07,0.56,1578.14970981525,8.4814467047941,5,3,7
"S15",3838.57153152108,2078071311.74,0.56,2149.6000576518,1.0344207369149,12,1,15
